NAME OF THE DATA,MEANING,DATA TYPE,DATA FORMATE,MISSING DATA,NUMBER  OF ROWS
DATE,STOCK DATE,TEXT ,DD-MM-YYYY,NO,2711
TATASTEEL,STOCK VALUE, NUMBER,FLOAT POINT,NO,2711
